CUSTOMER,SERIES_NAME,SKUNO,SN,STATION,FAILURE_SYMPTOM,LOCATION,FAIL_TIME,CHECKIN_TIME,ERROR_CODE,ROOT_CAUSE_DESC,ACTIONDESC,REPAIR_TIME,REPARIR_REWORK_COUNT
JUNIPER,JNP-SYSTEM-ODM,650-155753,FY2024AV0476,BFT,Abort,PC136,28/08/2024 9:07,08/09/2024 14:33,E206,Defect Component,Replace component,08/09/2024 14:36,3
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ2324AV0131,BFT,Board Online (CMWRRAP/DBG),D142,18/09/2024 13:24,22/09/2024 13:47,E205,Damaged Component,Replace component,22/09/2024 14:48,2
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3324AV0125,BFT,Board Online (CMWRRAP/DBG),DJ1,19/09/2024 15:27,19/09/2024 22:44,E305,Solder Bridge,Resolder,19/09/2024 22:47,1
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3524AV0521,FINALTEST,Board Online (CMWRRAP/DBG),U5,19/09/2024 9:40,19/09/2024 13:59,E107,Firmware Wrong,Reprogram,19/09/2024 15:31,1
JUNIPER,JNP-SYSTEM-ODM,650-155746,FY2924AV0026,BFT,Board Online (CMWRRAP/DBG),CN5,21/09/2024 15:16,21/09/2024 15:17,E305,Solder Bridge,Resolder,21/09/2024 15:19,1
JUNIPER,JNP-SYSTEM-ODM,650-155746,FY2924AV0052,BFT,Board Online (CMWRRAP/DBG),D21,24/09/2024 9:27,24/09/2024 13:12,E206,Defect Component,Replace component,24/09/2024 15:53,1
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ2924AV0001,BFT,Board Online (CMWRRAP/DBG),CABLE IN OOB BOARD,21/09/2024 17:49,22/09/2024 8:49,E902,Assembly Gap,Reassemble,22/09/2024 14:02,1
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0044,BFT,Board not online (No test log),DIM0,18/09/2024 13:06,19/09/2024 8:09,E902,Assembly Gap,Reassemble,19/09/2024 10:24,1
JUNIPER,JNP-SYSTEM-ODM,650-155746,FY2624AV0012,BFT,CPLD,,13/08/2024 10:34,13/08/2024 10:39,E891,NTF,Send out to repair,20/09/2024 9:27,3
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3424AV0006,FQC1,Damage component,SW1,04/09/2024 10:06,04/09/2024 10:11,E224,Damaged Component(N_C part),Replace component,04/09/2024 13:08,1
JUNIPER,JNP-SYSTEM-ODM,650-155746,FY2024AV0576,FINALTEST,Failed to kill JIT process,PSU PN_1,05/08/2024 11:01,15/09/2024 17:05,E10006,Wrong serail number,Reload Diag,15/09/2024 17:38,3
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3524AV0226,FINALTEST,Hang up no boot,U6,19/09/2024 9:41,19/09/2024 13:27,E803,Programmable part content error,Reprogram,19/09/2024 13:28,2
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0014,RIT,LED OFF,DDLED29,20/09/2024 8:45,21/09/2024 14:24,E206,Defect Component,Replace component,21/09/2024 14:39,3
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0014,BFT,Led not blink,.,18/09/2024 11:09,18/09/2024 13:44,E891,NTF,Send out to repair,18/09/2024 15:08,3
JUNIPER,JNP-SYSTEM-ODM,650-155746,FY2924AV0008,BFT,Memory test fail,PC634,31/08/2024 15:47,01/09/2024 9:06,E206,Defect Component,Replace component,01/09/2024 9:07,1
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3124AV0403,BFT,P/S S/N Not Match,Q18,24/08/2024 15:40,01/09/2024 9:34,E206,Defect Component,Replace component,01/09/2024 14:31,1
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ2924AV0021,BFT,POE test fail,DIM 0,17/09/2024 10:46,18/09/2024 11:10,E902,Assembly Gap,Reassemble,18/09/2024 13:19,1
JUNIPER,JNP-SYSTEM-ODM,650-134060,FJ3224AV0123,BFT,PORT LINK DOWN,D165,23/08/2024 11:03,05/09/2024 11:06,E206,Defect Component,Replace component,05/09/2024 11:14,1
JUNIPER,JNP-SYSTEM-ODM,650-155748,FZ3524AV0014,BFT,PORT LINK DOWN,U32,15/09/2024 10:23,15/09/2024 10:23,E310,Colder Solder,Resolder,15/09/2024 16:06,3
